age,workclass,fnlwgt,educationNum,maritalStatus,race,sex,captialGain,capitalLoss,hoursPerWeek,incomeCategory
39,0,77516,13,0,0,0,2174,0,40,0
50,1,83311,13,1,0,0,0,0,13,0
38,2,215646,9,2,0,0,0,0,40,0
53,2,234721,7,1,1,0,0,0,40,0
28,2,338409,13,1,1,1,0,0,40,0
37,2,284582,14,1,0,1,0,0,40,0
49,2,160187,5,4,1,1,0,0,16,0
52,1,209642,9,1,0,0,0,0,45,1
31,2,45781,14,0,0,1,14084,0,50,1
42,2,159449,13,1,0,0,5178,0,40,1
37,2,280464,10,1,1,0,0,0,80,1
30,0,141297,13,1,2,0,0,0,40,1
23,2,122272,13,0,0,1,0,0,30,0
32,2,205019,12,0,1,0,0,0,50,0
34,2,245487,4,1,3,0,0,0,45,0
25,1,176756,9,0,0,0,0,0,35,0
32,2,186824,9,0,0,0,0,0,40,0
38,2,28887,7,1,0,0,0,0,50,0
43,1,292175,14,2,0,1,0,0,45,1
40,2,193524,16,1,0,0,0,0,60,1
54,2,302146,9,5,1,1,0,0,20,0
35,4,76845,5,1,1,0,0,0,40,0
43,2,117037,7,1,0,0,0,2042,40,0
59,2,109015,9,2,0,1,0,0,40,0
56,3,216851,13,1,0,0,0,0,40,1
19,2,168294,9,0,0,0,0,0,40,0
39,2,367260,9,2,0,0,0,0,80,0
49,2,193366,9,1,0,0,0,0,40,0
23,3,190709,12,0,0,0,0,0,52,0
20,2,266015,10,0,1,0,0,0,44,0
45,2,386940,13,2,0,0,0,1408,40,0
30,4,59951,10,1,0,0,0,0,40,0
22,0,311512,10,1,1,0,0,0,15,0
48,2,242406,7,0,0,0,0,0,40,0
21,2,197200,10,0,0,0,0,0,40,0
19,2,544091,9,6,0,1,0,0,25,0
48,1,265477,12,1,0,0,0,0,40,0
31,2,507875,5,1,0,0,0,0,43,0
53,1,88506,13,1,0,0,0,0,40,0
24,2,172987,13,1,0,0,0,0,50,0
49,2,94638,9,5,0,1,0,0,40,0
25,2,289980,9,0,0,0,0,0,35,0
57,4,337895,13,1,1,0,0,0,40,1
53,2,144361,9,1,0,0,0,0,38,0
44,2,128354,14,2,0,1,0,0,40,0
41,0,101603,11,1,0,0,0,0,40,0
29,2,271466,11,0,0,0,0,0,43,0
25,2,32275,10,1,4,1,0,0,40,0
47,2,51835,15,1,0,1,0,1902,60,1
50,4,251585,13,2,0,0,0,0,55,1
47,5,109832,9,2,0,0,0,0,60,0
43,2,237993,10,1,0,0,0,0,40,1
46,2,216666,3,1,0,0,0,0,40,0
35,2,56352,11,1,0,0,0,0,40,0
41,2,147372,9,1,0,0,0,0,48,0
30,2,188146,9,1,0,0,5013,0,40,0
30,2,59496,13,1,0,0,2407,0,40,0
48,2,149640,9,1,0,0,0,0,40,0
42,2,116632,16,1,0,0,0,0,45,1
29,2,105598,10,2,0,0,0,0,58,0
36,2,155537,9,1,0,0,0,0,40,0
28,2,183175,10,2,0,1,0,0,40,0
53,2,169846,9,1,0,1,0,0,40,1
49,5,191681,10,1,0,0,0,0,50,1
19,2,101509,10,0,0,0,0,0,32,0
31,2,309974,13,5,1,1,0,0,40,0
29,1,162298,13,1,0,0,0,0,70,1
23,2,211678,10,0,0,0,0,0,40,0
79,2,124744,10,1,0,0,0,0,20,0
27,2,213921,9,0,0,0,0,0,40,0
40,2,32214,12,1,0,0,0,0,40,0
18,2,309634,7,0,0,1,0,0,22,0
31,3,125927,4,1,0,0,0,0,40,0
18,2,446839,9,0,0,0,0,0,30,0
52,2,276515,13,1,0,0,0,0,40,0
46,2,51618,9,1,0,1,0,0,40,0
59,2,159937,9,1,0,0,0,0,48,0
44,2,343591,9,2,0,1,14344,0,40,1
53,2,346253,9,2,0,1,0,0,35,0
49,3,268234,9,1,0,0,0,0,40,1
33,2,202051,14,1,0,0,0,0,50,0
30,2,54334,5,0,0,0,0,0,40,0
43,4,410867,16,0,0,1,0,0,50,1
57,2,249977,11,1,0,0,0,0,40,0
37,2,286730,10,2,0,1,0,0,40,0
28,2,212563,10,2,1,1,0,0,25,0
34,3,226296,13,1,0,0,0,0,40,1
29,3,115585,10,0,0,0,0,0,50,0
48,1,191277,16,1,0,0,0,1902,60,1
37,2,202683,10,1,0,0,0,0,48,1
48,2,171095,12,2,0,1,0,0,40,0
32,4,249409,9,0,1,0,0,0,40,0
76,2,124191,14,1,0,0,0,0,40,1
44,2,198282,13,1,0,0,15024,0,60,1
47,1,149116,14,0,0,1,0,0,50,0
20,2,188300,10,0,0,1,0,0,40,0
29,2,103432,9,0,0,0,0,0,40,0
32,5,317660,9,1,0,0,7688,0,40,1
30,2,194901,7,0,0,0,0,0,40,0
31,3,189265,9,0,0,1,0,0,40,0
42,2,124692,9,1,0,0,0,0,40,0
24,2,432376,13,0,0,0,0,0,40,0
38,2,65324,15,1,0,0,0,0,40,1
56,1,335605,9,1,0,0,0,1887,50,1
28,2,377869,10,1,0,1,4064,0,25,0
36,2,102864,9,0,0,1,0,0,40,0
53,2,95647,5,1,0,0,0,0,50,0
56,5,303090,10,1,0,0,0,0,50,0
49,3,197371,11,1,1,0,0,0,40,1
55,2,247552,10,1,0,0,0,0,56,0
22,2,102632,9,0,0,0,0,0,41,0
21,2,199915,10,0,0,1,0,0,40,0
40,2,118853,13,1,0,0,0,0,60,0
30,2,77143,13,0,1,0,0,0,40,0
29,0,267989,13,1,0,0,0,0,50,1
19,2,301606,10,0,1,0,0,0,35,0
47,2,287828,13,1,0,1,0,0,40,1
20,2,111697,10,0,0,1,0,1719,28,0
31,2,114937,12,1,0,0,0,0,40,1
39,2,365739,10,2,0,0,0,0,40,0
28,2,69621,12,0,0,1,0,0,60,0
24,2,43323,9,0,0,1,0,1762,40,0
38,1,120985,9,1,0,0,4386,0,35,0
37,2,254202,13,1,0,0,0,0,50,0
46,2,146195,12,2,1,1,0,0,36,0
38,4,125933,14,1,0,0,0,0,40,1
43,1,56920,9,1,0,0,0,0,60,0
27,2,163127,11,1,0,1,0,0,35,0
20,2,34310,10,0,0,0,0,0,20,0
49,2,81973,10,1,2,0,0,0,40,1
61,5,66614,9,1,0,0,0,0,40,0
27,2,232782,10,0,0,1,0,0,40,0
19,2,316868,10,0,0,0,0,0,30,0
45,2,196584,11,0,0,1,0,1564,40,1
70,2,105376,10,0,0,0,0,0,40,0
31,2,185814,9,0,1,1,0,0,30,0
22,2,175374,10,1,0,0,0,0,24,0
36,2,108293,9,7,0,1,0,0,24,0
64,2,181232,7,1,0,0,0,2179,40,0
47,3,186009,10,2,0,1,0,0,38,0
34,2,198183,9,0,0,1,0,0,40,0
33,2,163003,13,0,2,1,0,0,40,0
21,2,296158,9,0,0,0,0,0,35,0
48,2,187715,9,1,0,0,0,0,46,0
23,2,214542,13,0,0,0,0,0,40,0
71,1,494223,10,5,1,0,0,1816,2,0
29,2,191535,9,2,0,0,0,0,60,0
42,2,228456,13,5,1,0,0,0,50,0
25,2,252752,9,0,0,1,0,0,40,0
44,5,78374,14,2,2,1,0,0,40,0
28,2,88419,9,0,2,1,0,0,40,0
45,1,201080,14,1,0,0,0,0,40,1
36,2,207157,10,2,0,1,0,0,40,0
39,4,235485,12,0,0,0,0,0,42,0
46,0,102628,14,7,0,0,0,0,40,0
18,2,25828,7,0,0,0,0,0,16,0
66,3,54826,11,7,0,1,0,0,20,0
27,2,124953,9,0,0,0,0,1980,40,0
28,0,175325,9,1,0,0,0,0,40,0
51,2,96062,10,1,0,0,0,1977,40,1
27,2,428030,13,0,0,0,0,0,50,0
28,0,149624,13,1,0,0,0,0,40,1
27,2,253814,9,4,0,1,0,0,25,0
21,2,312956,9,0,1,0,0,0,40,0
34,2,483777,9,0,1,0,0,0,40,0
18,2,183930,9,0,0,0,0,0,12,0
33,2,37274,13,1,0,0,0,0,65,0
44,3,181344,10,1,1,0,0,0,38,1
43,2,114580,10,2,0,1,0,0,40,0
30,2,633742,10,0,1,0,0,0,45,0
40,2,286370,4,1,0,0,0,0,40,1
37,4,29054,10,1,0,0,0,0,42,1
34,2,304030,9,1,1,0,0,0,40,0
41,1,143129,13,2,0,1,0,0,40,0
31,2,99928,14,1,0,1,0,0,50,0
58,0,109567,16,1,0,0,0,0,1,1
38,2,155222,10,2,1,1,0,0,28,0
24,2,159567,10,1,0,0,0,0,40,0
41,3,523910,13,1,1,0,0,0,40,0
47,2,120939,10,1,0,0,0,0,45,0
41,4,130760,13,1,0,0,0,0,24,0
23,2,197387,3,1,0,0,0,0,40,0
36,2,99374,10,2,0,0,0,0,40,0
40,4,56795,14,0,0,1,14084,0,55,1
35,2,138992,14,1,0,0,7298,0,40,1
24,1,32921,9,0,0,0,0,0,40,0
26,2,397317,14,0,0,1,0,1876,40,0
51,2,259323,13,1,0,0,0,0,50,1
42,3,254817,10,0,0,1,0,1340,40,0
37,0,48211,9,2,0,1,0,0,35,0
18,2,140164,7,0,0,1,0,0,40,0
36,2,128757,13,1,1,0,7298,0,36,1
35,2,36270,9,2,0,0,0,0,60,0
58,5,210563,9,1,0,1,15024,0,35,1
17,2,65368,7,0,0,1,0,0,12,0
44,3,160943,9,1,1,0,0,0,40,0
37,2,208358,9,1,0,0,0,0,40,1
35,2,153790,10,0,3,1,0,0,40,0
60,2,85815,9,1,2,0,0,0,40,0
54,5,125417,4,1,0,0,0,0,40,1
37,2,635913,13,0,1,0,0,0,60,1
50,2,313321,12,2,0,1,0,0,40,0
38,2,182609,13,1,0,0,0,0,50,0
45,2,109434,13,1,0,0,0,0,55,0
25,2,255004,6,0,0,0,0,0,40,0
31,2,197860,10,1,0,0,0,0,40,0
90,2,51744,9,0,1,0,0,2206,40,0
54,2,176681,9,1,1,0,0,0,20,0
53,3,140359,1,0,0,1,0,0,35,0
18,2,243313,9,0,0,1,0,0,40,0
66,1,167687,9,1,0,0,1409,0,50,0
75,2,314209,11,7,0,1,0,0,20,0
65,2,176796,9,2,0,1,0,0,40,0
35,2,538583,7,5,1,0,3674,0,40,0
41,2,130408,9,2,1,1,0,0,38,0
25,2,159732,10,0,0,0,0,0,42,0
33,2,110978,10,2,4,1,0,0,40,0
28,2,76714,15,0,0,0,0,0,55,1
59,0,268700,9,1,0,0,0,0,40,0
40,0,170525,10,0,0,1,0,0,38,0
41,2,180138,13,1,0,0,0,0,50,1
38,3,115076,14,1,0,0,0,0,70,1
23,2,115458,9,0,0,0,0,0,40,0
40,2,347890,13,1,0,0,0,0,40,1
41,1,196001,9,1,0,1,0,0,20,0
24,0,273905,12,1,0,0,0,0,50,0
38,2,179488,10,2,0,0,0,1741,40,0
58,2,236596,9,1,0,0,0,0,45,1
32,2,183916,9,0,0,1,0,0,34,0
40,2,207578,12,1,0,0,0,1977,60,1
41,2,112763,15,1,0,1,0,0,40,1
42,2,390781,13,1,1,1,0,0,40,0
59,3,171328,6,7,1,1,0,0,30,0
19,3,27382,10,0,0,0,0,0,40,0
58,2,259014,10,0,0,0,0,0,20,0
42,1,303044,9,1,2,0,0,0,40,1
20,2,117789,9,0,0,1,0,0,40,0
32,2,172579,9,5,0,1,0,0,30,0
45,2,187666,11,7,0,1,0,0,45,0
50,2,204518,4,2,0,0,0,0,40,0
36,2,150042,13,2,0,1,0,0,40,0
45,2,98092,9,1,0,0,0,0,60,0
17,2,245918,7,0,0,0,0,0,12,0
59,2,146013,10,1,0,0,4064,0,40,0
26,2,378322,7,1,0,0,0,0,40,0
37,5,257295,10,1,2,0,0,0,75,1
64,2,21174,9,1,0,0,0,0,40,1
33,2,185480,13,0,0,1,0,0,45,0
33,2,222205,9,1,0,1,0,0,40,1
61,2,69867,9,1,0,0,0,0,40,1
17,2,191260,5,0,0,0,1055,0,24,0
50,1,30653,14,1,0,0,2407,0,98,0
27,3,209109,14,0,0,0,0,0,35,0
30,2,70377,9,2,0,1,0,0,40,0
43,2,477983,9,1,1,0,0,0,40,0
44,2,170924,10,1,0,0,7298,0,40,1
35,2,190174,10,0,0,1,0,0,40,0
25,2,193787,10,0,0,1,0,0,40,0
24,2,279472,10,1,0,1,7298,0,48,1
22,2,34918,13,0,0,1,0,0,15,0
42,3,97688,10,1,0,0,5178,0,40,1
34,2,175413,12,2,1,1,0,0,45,0
60,2,173960,13,2,0,1,0,0,42,0
21,2,205759,9,0,0,0,0,0,40,0
57,4,425161,14,1,0,0,15024,0,40,1
41,2,220531,15,1,0,0,0,0,60,1
50,2,176609,10,2,0,0,0,0,45,0
25,2,371987,13,0,0,1,0,0,40,0
50,2,193884,4,1,0,0,0,0,40,0
36,2,200352,13,1,0,0,0,0,45,0
31,2,127595,9,2,0,1,0,0,40,0
29,3,220419,13,0,0,0,0,0,56,0
21,2,231931,10,0,0,0,0,0,45,0
27,2,248402,13,0,1,1,0,0,40,0
65,2,111095,9,1,0,0,0,0,16,0
37,5,57424,13,2,0,1,0,0,60,0
24,2,278130,9,0,0,0,0,0,40,0
38,2,169469,9,2,0,0,0,0,80,0
48,2,146268,13,1,0,0,7688,0,40,1
21,2,153718,10,0,2,1,0,0,25,0
31,2,217460,9,1,0,0,0,0,45,1
55,2,238638,9,1,0,0,4386,0,40,1
24,2,303296,10,1,2,1,0,0,40,0
43,2,173321,9,2,0,1,0,0,40,0
26,2,193945,12,0,0,0,0,0,45,0
46,2,83082,12,0,0,1,0,0,33,0
